Unnamed: 0,small-cell lung cancer,pubmed-hits
LINC00032,0.0024849252594655877,0
KIAA0125,0.0024559715522038767,0
Llme23,0.0024553723869784,0
CDKN2B-AS8,0.002377433521395641,0
n386477,0.0023128981852624467,0
SPRY4-IT1,0.002306975811714325,6
ESCCAL-5,0.002304346159009985,0
n340790,0.0023034983797228016,0
CR619813,0.002299047035534905,0
DDX6P,0.00228099511452593,1
BANCR,0.00227896645240906,5
MALAT1,0.00226013293578206,65
ENST00000422362,0.0022414051560692007,0
PTCSC,0.0022274186555685787,1
ENST00000480739,0.002227270535819264,0
NR_003586,0.0022252764254608926,0
ENST00000455912,0.0022050663884792235,0
AL389956,0.002198316320215869,0
PTCSC2,0.0021955130779824877,0
MIR7-3HG,0.002186956940135402,0
n335550,0.0021817817615873746,0
ENST00000422494.1,0.0021760211280433626,0
CTC-338M12.5,0.002173480630008984,0
lincRNA-uc002yug.2,0.002165422372891324,0
lincRNA-ZNF532,0.0021636090662095608,0
ESCCAL-1,0.002161486470250365,0
ENST00000318333,0.002159443784759668,0
MINA,0.002150666384372025,15
AF339813,0.0021484045180584247,0
PPP3CB,0.0021319838070878714,0
ENST00000456007,0.002129002581125104,0
RP11-169D4.1-001,0.0021245079552167398,0
NR_033449,0.0021233285128281817,0
uc003jfz.2,0.002123134168627555,0
NR_015430,0.0021185227577994246,0
LALR,0.0021135280740126557,0
lnc-KCMF1-2:1,0.0021116434217747465,0
NONHSAT037832,0.0021083526317918133,0
SOX2OT-S1,0.002107071588145721,0
miR-21,0.0021033509800687145,141
BC008363,0.002102047434918601,0
NR_033663,0.0020991676541060643,0
AFAP1-AS1,0.002097335104704621,7
ENST00000456185,0.0020909509330192533,0
PTCSC3,0.0020893992900371653,0
RP11-58D2.1,0.002085234663165241,0
DAPK1,0.002074664194232606,12
AK022029,0.002067329147389033,0
Epist,0.0020632567809018205,707
NR_027775,0.002060677090575702,0
PEG10,0.0020586637769892924,1
FOXCUT,0.0020554784894242745,0
ENST00000374520,0.0020514883162884986,0
NR_003225.2,0.0020460762344681692,0
AK023948,0.00203795551915425,0
lnc-PLA2R1-1:1,0.002033765963194694,0
AK022159,0.0020325221846516227,0
NAMA,0.002026241024115783,0
SOX2OT-S2,0.0020237402980920333,0
TCONS_l2_00010365,0.0020174377206671527,26
BC023629,0.002012825323606849,0
lnc-PSD4-1:14,0.0020118982761725824,0
lnc-LLPH-2:1,0.002011284291050253,0
TC0101441,0.0019943957026136512,0
LOC285194,0.0019898749251828288,0
HULC,0.001987899385619415,1
ENST00000435885.1,0.001975109857894218,0
TC0101686,0.001974154297741045,0
ENST00000448093,0.001958705481990692,0
AF075041,0.001954696383204748,0
lnc-LCE5A-1,0.001953766970688366,0
XLOC_013014,0.0019465827716176965,0
AB209630,0.0019445979739774527,0
GAS5,0.0019405932074136312,12
PlncRNA-1,0.001935084299509493,0
HNF1A-AS1,0.001931728027722748,3
AP000221.1,0.0019299776959923825,0
UCA1,0.0019238995647722452,7
ENST00000547963.1,0.0019238475196754145,0
MEG3,0.0019231149595459226,9
AC026166.2-001,0.0019146831613939574,0
TUG1,0.0019039677115343175,10
uc021re1.1,0.0018799488191765816,0
NPTN-IT1,0.0018781163399344887,0
RRP1B,0.0018745970059575734,0
H19,0.0018597954364063785,15
CDKN2B-AS4,0.0018562006387774965,0
linc-POU3F3,0.0018199027312847129,0
AB019562,0.0018191247573812789,0
ASK00420,0.0018159303830417868,0
ZFAT-AS1,0.0018090235545065575,0
lncRNA-MVIH,0.0018070867465528836,2
lnc-ZNF180-2,0.0018052956240350426,1
Yiya,0.0017956001702125598,0
TARID,0.0017858489211975235,11
ENST00000503710,0.0017639406878578894,0
HOTTIP,0.0017516395005872211,6
MESTIT1,0.0017487923985773114,0
HEIH,0.0017272596610601527,1
uc002nbr.3,0.0017270369701881858,0
